date	count
2021-06-07 07:15:57.415373	2360357
2021-06-07 09:01:41.643880	2360404
2021-06-07 10:43:33.447066	2360450
2021-06-07 11:43:58.951953	2360495
2021-06-07 12:30:14.531511	2360569
2021-06-07 14:09:09.027911	2360663
2021-06-07 15:20:42.469304	2360834
2021-06-07 16:47:26.613603	2360938
2021-06-07 18:58:37.949370	2361043
2021-06-07 21:00:09.244352	2361226
2021-06-07 22:25:22.178907	2361379
2021-06-07 23:22:31.095879	2361462
2021-06-08 00:26:00.804146	2361494
2021-06-08 02:35:32.418919	2361597
2021-06-08 03:49:04.433619	2361664
2021-06-08 04:34:40.536258	2361679
2021-06-08 05:42:29.250759	2361696
2021-06-08 06:15:50.111734	2361703
2021-06-08 07:18:01.333664	2361728
2021-06-08 08:02:40.031936	2361741
2021-06-08 09:02:12.967254	2361761
2021-06-08 10:02:03.601454	2361803
2021-06-08 11:03:27.367500	2361897
2021-06-08 11:54:41.756201	2361950
2021-06-08 13:21:37.228353	2362005
2021-06-08 14:08:50.216685	2362040
2021-06-08 14:58:20.043770	2362069
2021-06-08 16:10:15.031314	2362155
2021-06-08 17:40:42.247452	2362244
2021-06-08 18:25:19.492372	2362301
2021-06-08 19:27:31.035440	2362393
2021-06-08 20:04:49.303025	2362438
2021-06-08 20:59:37.409289	2362526
2021-06-08 21:58:39.794320	2362591
2021-06-08 22:59:18.901256	2362629
2021-06-08 23:58:25.539748	2362687
2021-06-09 02:06:45.388691	2362782
2021-06-09 03:25:41.760907	2362829
2021-06-09 04:22:23.560867	2362846
2021-06-09 05:25:23.505732	2362862
2021-06-09 06:11:56.636248	2362884
2021-06-09 07:13:40.590331	2362907
2021-06-09 07:58:57.647979	2362920
2021-06-09 08:58:57.151156	2362935
2021-06-09 09:58:14.615140	2362977
2021-06-09 10:59:23.353465	2363035
2021-06-09 11:52:53.669868	2363059
2021-06-09 13:18:42.450318	2363148
2021-06-09 14:02:36.611758	2363176
2021-06-09 14:54:25.067447	2363206
2021-06-09 16:06:17.260376	2363318
2021-06-09 17:30:49.212645	2363431
2021-06-09 18:21:38.898860	2363494
2021-06-09 19:18:19.094261	2363559
2021-06-09 19:56:39.626005	2363578
2021-06-09 20:53:34.729882	2363651
2021-06-09 21:56:17.721203	2363726
2021-06-09 22:56:57.558909	2363772
2021-06-09 23:57:04.572232	2363808
2021-06-10 02:03:43.917366	2363971
2021-06-10 03:19:17.774040	2364030
2021-06-10 04:12:55.335844	2364092
2021-06-10 05:21:06.342936	2364151
2021-06-10 06:05:15.657956	2364159
2021-06-10 07:10:31.396243	2364194
2021-06-10 07:56:59.763496	2364208
2021-06-10 08:57:34.046757	2364220
2021-06-10 09:57:52.231956	2364242
2021-06-10 10:59:14.559536	2364315
2021-06-10 11:52:43.939982	2364396
2021-06-10 13:19:00.099403	2364497
2021-06-10 14:02:14.400800	2364526
2021-06-10 14:53:32.629893	2364561
2021-06-10 16:05:53.222860	2364623
2021-06-10 17:31:37.506276	2364752
2021-06-10 18:20:22.185064	2364785
2021-06-10 19:15:14.798199	2364823
2021-06-10 19:52:47.894261	2364869
2021-06-10 20:52:46.605655	2364905
2021-06-10 21:53:13.196763	2364946
2021-06-10 22:52:40.835245	2365100
2021-06-10 23:53:13.527362	2365184
2021-06-11 01:52:00.758515	2365289
2021-06-11 03:10:59.968458	2365344
2021-06-11 04:01:10.096033	2365356
2021-06-11 05:06:30.168824	2365376
2021-06-11 05:52:43.560835	2365379
2021-06-11 07:03:03.901004	2365413
2021-06-11 07:52:43.897080	2365433
2021-06-11 08:54:09.116243	2365477
2021-06-11 09:54:19.930549	2365516
2021-06-11 10:55:44.910901	2365549
2021-06-11 11:52:48.757677	2365601
